আমি বই পড়ি।	আমি গল্প পড়তে ভালোবাসি।
সে বাজারে গিয়ে সবজি কিনেছিল।	সে সেরা সবজি সংগ্রহ করেছিল।
আজ আকাশ স্পষ্ট।	আজ দিনটি একেবারে পরিষ্কার।
আমরা সাঁতার কাটতে জলের কাছে গিয়েছিলাম।	আমরা পুকুরের ধারে সাঁতার কাটার মজা নিয়েছিলাম।
সে প্রতিদিন সকালে হাঁটে।	সে দৈনিক হাঁটার অভ্যাস পোষণ করে।
বৃক্ষগুলি শীতে পাতলা হয়ে যায়।	শীতে গাছের পাতা ঝরে যায়।
সে তার চুল কাটিয়ে নতুন স্টাইল নিল।	তার চুলের নতুন কাটা চেহারা আলাদা ছিল।
আমি চা পান করতে পছন্দ করি।	চা আমার প্রিয় পানীয়।
ছেলেটি স্কুলে নতুন জুতো পরে।	স্কুলে তার নতুন জুতোর প্রশংসা হয়।
সে তার বাড়ির সামনে ফুল বাগান তৈরি করেছে।	তার বাড়ির পাশে একটি সুন্দর ফুলের বাগান আছে।
আমি গান শুনতে ভালোবাসি।	সঙ্গীত আমার মনকে প্রশান্ত করে।
সে রাস্তায় সাবধানতার সাথে চলে।	সে পথ চলতে সতর্ক।
আমাদের দলের খেলাটি জয়ী হয়েছিল।	আমরা খেলার মাধ্যমে বিজয় অর্জন করেছিলাম।
সে পেন্সিলে চিত্র আঁকে।	তার অঙ্কন কাজটি খুবই মনোরম।
রাস্তায় হালকা বৃষ্টি হচ্ছে।	মেঘলা আকাশে বৃষ্টি ফোটে।
সে নিজের বাড়ি সাজিয়েছে।	তার বাসা নতুন রঙে রাঙানো।
আমি সিনেমা দেখতে গিয়েছিলাম।	চলচ্চিত্র দেখার অভিজ্ঞতা অসাধারণ ছিল।
সে দুপুরে খাবার করে।	দুপুরের আহার তার শক্তির উৎস।
আজ আমার মন ভালো।	আজ আমার মেজাজ একদম সুন্দর।
সে নতুন বই কিনেছে।	তার পাঠ্যবই সমৃদ্ধ।
আমরা পার্কে খেলাধুলা করি।	পার্কে আমরা বিনোদনের সময় কাটাই।
সে তার বন্ধুদের সাথে সময় কাটায়।	তার সঙ্গীরা তার প্রিয়।
আমি সঙ্গীত বাজাই।	সঙ্গীত আমার আবেগ প্রকাশ করে।
সে নতুন ফোন কিনেছে।	তার মোবাইলটি একেবারে ঝকঝকে।
আমরা সকালে সূর্যোদয় দেখেছিলাম।	সকালে সূর্যের প্রথম আলো আমাদের অভিভূত করেছিল।
সে শহরে ভ্রমণ করে।	শহরের সৌন্দর্য তার দৃষ্টি আকর্ষণ করে।
আমি আর্ট গ্যালারিতে গিয়েছিলাম।	শিল্প প্রদর্শনী আমার মনের প্রশান্তি দেয়।
সে সাঁতার কাটা শিখেছে।	তার সাঁতার কাটার দক্ষতা বৃদ্ধি পেয়েছে।
আজকে ঠাণ্ডা বৃষ্টি হচ্ছে।	আবহাওয়া একদম শীতল।
সে হাসতে ভালোবাসে।	তার হাসি সবাইকে আনন্দ দেয়।
আমি প্রতিদিন লেখা অনুশীলন করি।	লেখা আমার সৃজনশীলতার প্রকাশ।
সে রান্না করতে ভালোবাসে।	তার রান্নার স্বাদ অসাধারণ।
আমরা বইমেলায় গিয়েছিলাম।	বইমেলায় নতুন বই আবিষ্কার করেছি।
সে মাঠে ফুটবল খেলেছে।	তার ফুটবল খেলার চপলতা মুগ্ধকর।
আমি নিজের মতো করে চিন্তা করি।	আমার দৃষ্টিভঙ্গি ভিন্ন।
সে সঙ্গীতের ক্লাসে যায়।	তার সুরেলা কণ্ঠস্বর ক্লাসে প্রশংসিত।
আজকের রাতটি শান্ত।	রাত্রি একেবারে নিরিবিলি।
সে পাখিদের কথা শুনে।	তার পরিবেশের প্রতি গভীর আকর্ষণ আছে।
আমি ছবি আঁকতে ভালোবাসি।	আমার আঁকা ছবি মনোমুগ্ধকর।
সে প্রতিদিন ব্যায়াম করে।	তার শরীরচর্চা নিয়মিত।
আমরা বাগানে ঘুমাই।	প্রকৃতির মাঝে বিশ্রাম পাই।
সে নতুন গান রচনা করেছে।	তার সুরেলা সঙ্গীত সবাইকে স্পর্শ করেছে।
আমি কবিতা লিখি।	কবিতা আমার হৃদয়ের ভাষা।
সে দোকানে নতুন জামাকাপড় কিনেছে।	তার পোশাক সংগ্রহে নতুনত্ব আছে।
আজ বৃষ্টি ঝরে পড়ছে।	আবহাওয়া একদম রোমান্টিক।
সে কলেজে ভাল মেধাবী।	তার পড়াশোনায় উৎকর্ষতা রয়েছে।
আমি বাগানে কাজ করি।	প্রকৃতির মাঝে আমার শান্তি।
সে বাজারে নতুন ফল কিনেছে।	তার তাজা ফলের ভান্ডার সমৃদ্ধ।
আমরা বন্ধুদের সাথে সিনেমা দেখলাম।	সিনেমা আমাদের মিলনের মুহূর্ত।
সে প্রতিদিন সকালে মেডিটেশন করে।	তার মনের শান্তি নিশ্চিত হয়।
আমি হস্তশিল্প করি।	হস্তশিল্প আমার সৃজনশীল প্রকাশ।
সে তার আর্ট প্রোজেক্ট সম্পন্ন করেছে।	তার চিত্রকর্ম প্রশংসিত হয়েছে।
আজকের দিনটি উজ্জ্বল।	আলো দিনের ছোঁয়া মুগ্ধকর।
সে প্রাকৃতিক সঙ্গীত উপভোগ করে।	প্রকৃতির শব্দ তার মনের প্রশান্তি দেয়।
